"M 91","Barred Spiral",\N,12.59,14.4964,"10.2","5.4",\N,\N,"Need"
"M 92","Globular Cluster",\N,17.2856,43.1358,"6.4","14",\N,\N,"Need"
"M 93","Open Cluster",\N,7.7433,-23.8533,"6","22",\N,\N,"Need"
"M 94","Croc's Eye Galaxy",\N,12.8472,41.1203,"8.2","11",\N,\N,"Need"
"M 95","Barred Spiral",\N,10.7333,11.7036,"9.7","7.3",\N,\N,"Need"
"M 96","Spiral Galaxy",\N,10.7781,11.8197,"9.2","7.8",\N,\N,"Need"
"M 97","Owl Nebula",\N,11.2467,55.0192,"9.9","3.4",\N,\N,"Need"
"M 98","Spiral Galaxy",\N,12.23,14.9011,"10.1","9.8",\N,\N,"Need"
"M 99","Comet Galaxy",\N,12.3133,14.4181,"9.9","5.4",\N,\N,"Need"
"M 100","Grand Design Sp.",\N,12.3811,15.8239,"9.3","7.4",\N,\N,"Need"
"M 101","Pinwheel Galaxy",\N,14.0533,54.3489,"7.9","22",\N,\N,"Need"
"M 102","Spindle Galaxy",\N,15.1017,55.7633,"9.9","5.2",\N,\N,"Need"
"M 103","Open Cluster",\N,1.5533,60.7,"7.4","6",\N,\N,"Need"
"M 104","Sombrero Galaxy",\N,12.6664,-11.6214,"8","8.6",\N,\N,"Need"
"M 105","Elliptical Galaxy",\N,10.7964,12.5817,"9.3","5.4",\N,\N,"Need"
"M 106","Spiral Galaxy",\N,12.3164,47.3028,"8.4","18",\N,\N,"Need"
"M 107","Globular Cluster",\N,16.5417,-13.0536,"7.9","13",\N,\N,"Need"
"M 108","Surfboard Galaxy",\N,11.1917,55.6731,"10","8.6",\N,\N,"Need"
"M 109","Barred Spiral",\N,11.96,53.3744,"9.8","7.5",\N,\N,"Need"
"NGC 6543","NGC  6543",\N,269.639,66.633,"11.3","0.623",\N,\N,"Need"
"ANDROMEDA","M  31",\N,10.6847,41.2687,"3.4","199.5",\N,\N,"Need"
"Algol","* bet Per",\N,47.0422,40.9556,"2.1","0",\N,\N,"Need"
"Almach","* gam01 And",\N,30.9748,42.3297,"2.1","0.2",\N,\N,"Need"
"IC 1848","IC 1848",\N,42.855,60.4189,"6.5","24",\N,\N,"Need"
"NGC 1275","NGC  1275",\N,49.9507,41.5117,"12.5","2.6",\N,\N,"Need"
"NGC 147","NGC   147",\N,8.3005,48.5087,"9.5","12.6",\N,\N,"Need"
"NGC 1501","NGC  1501",\N,61.7475,60.9206,"13","0.9",\N,\N,"Need"
"NGC 1514","NGC  1514",\N,62.3208,30.776,"9.5","1.7",\N,\N,"Need"
"NGC 1795","NGC  1795",\N,74.9456,-69.8022,"12.4","1.4",\N,\N,"Need"
"NGC 225","NGC   225",\N,10.805,61.7739,"7","25.9",\N,\N,"Need"
"NGC 2336","NGC  2336",\N,111.767,80.1781,"12.5","4.8",\N,\N,"Need"
"NGC 2346","NGC  2346",\N,107.344,-0.806559,"11.6","0.9",\N,\N,"Need"
"NGC 2392","NGC  2392",\N,112.295,20.9118,"9.7","0.3",\N,\N,"Need"
